iter	Passed	Remaining
0	148	148807
1	150	75217
2	152	50584
3	153	38342
4	155	30980
5	157	26067
6	158	22526
7	160	19882
8	162	17846
9	163	16190
10	165	14837
11	166	13708
12	168	12758
13	169	11938
14	171	11235
15	172	10613
16	174	10070
17	175	9584
18	177	9152
19	178	8763
20	180	8409
21	181	8082
22	183	7785
23	184	7513
24	186	7261
25	187	7025
26	189	6833
27	191	6631
28	192	6447
29	194	6274
30	195	6114
31	197	5961
32	198	5818
33	200	5688
34	201	5562
35	203	5444
36	204	5333
37	206	5226
38	207	5121
39	209	5025
40	210	4931
41	212	4845
42	213	4760
43	215	4676
44	217	4605
45	218	4530
46	220	4464
47	221	4395
48	223	4330
49	224	4266
50	225	4203
51	227	4143
52	228	4090
53	230	4038
54	232	3988
55	233	3936
56	234	3887
57	236	3839
58	237	3795
59	239	3750
60	240	3707
61	242	3667
62	244	3629
63	245	3592
64	247	3554
65	248	3518
66	250	3482
67	251	3447
68	252	3413
69	254	3380
70	255	3347
71	257	3316
72	259	3292
73	260	3263
74	262	3235
75	263	3207
76	265	3179
77	266	3152
78	268	3125
79	269	3100
80	271	3075
81	273	3056
82	273	3025
83	275	3001
84	276	2978
85	278	2955
86	279	2934
87	281	2912
88	282	2893
89	284	2873
90	285	2853
91	287	2835
92	288	2816
93	290	2798
94	292	2781
95	293	2762
96	294	2744
97	296	2728
98	297	2711
99	299	2694
100	301	2679
101	302	2663
102	304	2647
103	305	2631
104	306	2615
105	308	2600
106	310	2588
107	311	2573
108	313	2559
109	314	2546
110	316	2535
111	318	2523
112	319	2510
113	321	2500
114	323	2489
115	324	2476
116	326	2461
117	327	2449
118	329	2438
119	330	2425
120	332	2412
121	333	2398
122	334	2388
123	336	2376
124	337	2364
125	339	2352
126	340	2340
127	342	2330
128	343	2319
129	345	2309
130	346	2298
131	347	2287
132	349	2277
133	350	2266
134	352	2257
135	353	2247
136	355	2238
137	356	2228
138	358	2219
139	359	2210
140	361	2201
141	362	2189
142	363	2179
143	365	2171
144	366	2161
145	368	2153
146	369	2143
147	371	2136
148	372	2128
149	374	2120
150	375	2112
151	377	2104
152	378	2095
153	379	2087
154	381	2079
155	382	2071
156	384	2065
157	386	2057
158	387	2050
159	389	2043
160	390	2033
161	391	2025
162	393	2019
163	394	2012
164	396	2004
165	397	1998
166	399	1991
167	400	1983
168	402	1976
169	403	1970
170	404	1963
171	406	1956
172	407	1949
173	409	1943
174	410	1936
175	412	1930
176	413	1923
177	415	1916
178	416	1910
179	417	1903
180	419	1898
181	420	1892
182	422	1886
183	423	1880
184	425	1874
185	426	1868
186	428	1862
187	429	1856
188	431	1850
189	432	1844
190	434	1838
191	435	1833
192	436	1826
193	438	1821
194	440	1817
195	441	1812
196	443	1806
197	444	1801
198	446	1796
199	447	1791
200	449	1785
201	450	1780
202	452	1775
203	453	1771
204	455	1766
205	457	1761
206	458	1756
207	459	1751
208	461	1745
209	462	1740
210	464	1735
211	465	1731
212	467	1727
213	468	1722
214	470	1717
215	471	1712
216	473	1707
217	474	1702
218	476	1697
219	477	1692
220	478	1688
221	480	1683
222	482	1679
223	483	1675
224	484	1670
225	486	1665
226	487	1661
227	489	1656
228	490	1651
229	491	1646
230	493	1642
231	494	1638
232	496	1633
233	497	1629
234	499	1624
235	500	1620
236	502	1616
237	503	1611
238	504	1607
